"|","|__name","Lasana_y_canelones"
"Aceite_de_oliva","Aceite de oliva 0,4º Hacendado\nBotella 1 L\n9,25 € /ud.","Placas para lasaña precocidas El Pavo\nCaja 18 placas (200 g)\n1,43 € /ud."
"","Aceite de oliva virgen extra Hacendado\nGarrafa 3 L\n29,55 € /ud.",""
"","Aceite de oliva virgen extra Hacendado\nBotella 1 L\n9,90 € /ud.",""
"","Aceite de oliva virgen extra Hacendado Gran Selección\nBotella 750 ml\n8,10 € /ud.",""
"","Aceite de oliva 1º Hacendado\nBotella 1 L\n9,25 € /ud.",""
"","Aceite de oliva virgen Hacendado\nGarrafa 3 L\n28,50 € /ud.",""
"","Aceite de oliva virgen Hacendado\nBotella 1 L\n9,55 € /ud.",""
"","Aceite de oliva suave Hacendado\nGarrafa 3 L\n27,60 € /ud.",""
"","Aceite de oliva intenso Hacendado\nGarrafa 3 L\n27,60 € /ud.",""
"","Aceite de oliva virgen extra Hacendado\nSpray 200 ml\n3,30 € /ud.",""
"","Aceite de oliva virgen extra Picual Casa Juncal\nBotella 500 ml\n7,85 € /ud.",""
"Aceite_de_girasol_semillas_y_maiz","Aceite de girasol refinado 0,2º Hacendado\nGarrafa 5 L\n6,95 €6,75 € /ud.",""
"","Aceite de girasol refinado 0,2º Hacendado\nBotella 1 L\n1,45 € /ud.",""
"","Aceite de coco virgen Hacendado\nBote 450 ml\n4,40 € /ud.",""
"Vinagre_y_otros_aderezos","Vinagre de vino blanco Hacendado\nBotella 1 L\n0,75 € /ud.",""
"","Vinagre de manzana Hacendado\nBotella 1 L\n0,90 € /ud.",""
"","Limón exprimido Hacendado\nBotella 280 ml\n1,00 € /ud.",""
"","Crema de vinagre balsámico de Módena Hacendado\nBotella 250 g\n1,75 € /ud.",""
"","Vinagre de Jerez reserva Hacendado\nBotella 250 ml\n2,00 € /ud.",""
"","Bebida aromatizada a base de vino para cocinar Abuela Carola\nBotella 750 ml\n2,35 € /ud.",""
"","Reducción de vinagre Pedro Ximénez Hacendado\nBotella 300 g\n2,25 € /ud.",""
"","Aceite de oliva, vinagre y sal Merry\n15 monodosis x 10 ml\n2,20 € /pack",""
"","Vinagre balsámico de Módena Hacendado\nBotella 500 ml\n2,50 € /ud.",""
"","Vinagre de manzana Hacendado sin filtrar\nBotella 500 ml\n1,70 € /ud.",""
"Sal_y_bicarbonato","Sal fina Hacendado\nPaquete 1 kg\n0,35 € /ud.",""
"","Sal fina de mesa Hacendado\nBote 250 g\n0,60 € /ud.",""
"","Sal yodada fina Hacendado\nPaquete 1 kg\n0,35 € /ud.",""
"","Sal gruesa Hacendado\nPaquete 1 kg\n0,35 € /ud.",""
"","Bicarbonato sódico Hacendado\nPaquete 1 kg\n1,50 € /ud.",""
"","Bicarbonato sódico Hacendado\nBote 300 g\n1,10 € /ud.",""
"","Sal marina en escamas Polasal\nBote 125 g\n2,00 € /ud.",""
"","Sal gruesa para hornear Hacendado\nPaquete 2 kg\n0,95 € /ud.",""
"","Sal de ajo Hacendado\nBote 130 g\n1,80 € /ud.",""
"","Sal de frutas sabor limón Hacendado\nBote 250 g\n2,10 € /ud.",""
"","Sal 60% menos de sodio Hacendado\nBote 250 g\n2,30 € /ud.",""
"","Preparado para salmón ahumado Hacendado\nBote 750 g\n3,30 € /ud.",""
"","Sal rosa del Himalaya Hacendado\nBote 250 g\n1,80 € /ud.",""
"Agua_sin_gas","Agua mineral grande Fuente Dehesa\nGarrafa 6 L\n1,26 € /ud.",""
"","Agua mineral grande Fuente Dehesa\n6 botellas x 1,5 L\n2,34 € /pack",""
"","Agua mineral grande Fuente Dehesa\nBotella 1,5 L\n0,39 € /ud.",""
"","Agua mineral mediana Fuente Dehesa\n6 botellas x 1 L\n3,00 € /pack",""
"","Agua mineral mediana Fuente Dehesa\nBotella 1 L\n0,50 € /ud.",""
"","Agua mineral pequeña Fuente Dehesa\n6 botellas x 500 ml\n1,62 € /pack",""
"","Agua mineral pequeña Fuente Dehesa\nBotella 500 ml\n0,27 € /ud.",""
"","Agua mineral pequeña Fuente Dehesa tapón infantil\n6 botellas x 330 ml\n2,28 € /pack",""
"","Agua mineral pequeña Fuente Dehesa tapón infantil\nBotella 330 ml\n0,38 € /ud.",""
"","Agua mineral grande Nestlé Aquarel\n6 botellas x 1,5 L\n3,54 € /pack",""
"","Agua mineral grande Nestlé Aquarel\nBotella 1,5 L\n0,59 € /ud.",""
"","Agua mineral grande Solán de Cabras\n6 botellas x 1,5 L\n5,34 € /pack",""
"","Agua mineral grande Solán de Cabras\nBotella 1,5 L\n0,89 € /ud.",""
"","Agua mineral grande Lanjarón\n6 botellas x 1,5 L\n4,20 € /pack",""
"","Agua mineral grande Lanjarón\nBotella 1,5 L\n0,73 € /ud.",""
"","Agua mineral grande Aguadoy\nGarrafa 8 L\n0,89 € /ud.",""
"","Agua mineral grande Aguadoy\nGarrafa 6 L\n0,78 € /ud.",""
"","Agua mineral grande Aguadoy\n6 botellas x 1,5 L\n1,50 € /pack",""
"","Agua mineral grande Aguadoy\nBotella 1,5 L\n0,25 € /ud.",""
"","Agua mineral mediana Aguadoy\n6 botellas x 1 L\n2,40 € /pack",""
"","Agua mineral mediana Aguadoy\nBotella 1 L\n0,40 € /ud.",""
"","Agua mineral pequeña Aguadoy\n6 botellas x 500 ml\n1,32 € /pack",""
"","Agua mineral pequeña Aguadoy\nBotella 500 ml\n0,22 € /ud.",""
"","Agua mineral pequeña Aguadoy tapón infantil\n6 botellas x 330 ml\n1,44 € /pack",""
"","Agua mineral pequeña Aguadoy tapón infantil\nBotella 330 ml\n0,24 € /ud.",""
"","Agua mineral grande Liviana\n6 botellas x 2 L\n4,80 € /pack",""
"","Agua mineral grande Liviana\nBotella 2 L\n0,80 € /ud.",""
"","Agua de coco Chaokoh 100% natural\nBrick 1 L\n2,60 € /ud.",""
"Agua_con_gas","Agua mineral con gas grande Vichy Catalan\nBotella 1 L\n1,49 € /ud.",""
"","Agua mineral con gas pequeña Vichy Catalan\n6 botellas x 300 ml\n5,89 € /pack",""
"","Agua de soda con sifón La Casa\nBotella 1,5 L\n1,60 € /ud.",""
"","Agua mineral con gas grande Aguadoy\n6 botellas x 1,5 L\n2,46 € /pack",""
"","Agua mineral con gas grande Aguadoy\nBotella 1,5 L\n0,41 € /ud.",""
"","Agua mineral con gas pequeña Aguadoy\n6 botellas x 500 ml\n1,62 € /pack",""
"","Agua mineral con gas pequeña Aguadoy\nBotella 500 ml\n0,27 € /ud.",""
"Gaseosa","Gaseosa Hacendado grande\nBotella 1,5 L\n0,50 € /ud.",""
"","Gaseosa Hacendado pequeña\n6 botellas x 500 ml\n1,92 € /pack",""
"","Gaseosa Hacendado pequeña\nBotella 500 ml\n0,32 € /ud.",""
"","Gaseosa La Casera grande\n2 botellas x 1,5 L\n2,36 € /pack",""
"","Gaseosa La Casera grande\nBotella 1,5 L\n1,20 € /ud.",""
"cocacola_clasica","Refresco Coca-Cola\n2 botellas x 2 L\n3,90 € /pack",""
"","Refresco Coca-Cola\nBotella 2 L\n1,99 € /ud.",""
"","Refresco Coca-Cola\nBotella 1,25 L\n1,49 €1,25 € /ud.",""
"","Refresco Coca-Cola\n4 botellas x 500 ml\n5,00 € /pack",""
"","Refresco Coca-Cola\nBotella 500 ml\n1,45 € /ud.",""
"","Refresco Coca-Cola\n12 latas x 330 ml\n10,44 €9,72 € /pack",""
"","Refresco Coca-Cola\nLata 330 ml\n0,89 € /ud.",""
"","Refresco cola Hacendado\nBotella 2 L\n0,80 € /ud.",""
"","Refresco cola Hacendado\n6 latas x 330 ml\n2,04 € /pack",""
"","Refresco cola Hacendado\nLata 330 ml\n0,34 € /ud.",""
"","Refresco cola Pepsi\nBotella 1,75 L\n1,69 € /ud.",""
"Cocacola_zero","Refresco Coca-Cola Zero azúcar\n12 latas x 330 ml\n10,44 € /pack",""
"","Refresco Coca-Cola Zero azúcar\nLata 330 ml\n0,89 € /ud.",""
"","Refresco Coca-Cola Zero azúcar\n2 botellas x 2 L\n3,90 € /pack",""
"","Refresco Coca-Cola Zero azúcar\nBotella 2 L\n1,99 € /ud.",""
"","Refresco Coca-Cola Zero azúcar\nBotella 1,25 L\n1,49 €1,25 € /ud.",""
"","Refresco Coca-Cola Zero azúcar\n4 botellas x 500 ml\n5,00 € /pack",""
"","Refresco Coca-Cola Zero azúcar\nBotella 500 ml\n1,45 € /ud.",""
"","Refresco Coca-Cola light\n9 latas x 330 ml\n7,83 € /pack",""
"","Refresco Coca-Cola light\nLata 330 ml\n0,89 € /ud.",""
"","Refresco Coca-Cola Zero Zero\n12 latas x 330 ml\n10,44 € /pack",""
"","Refresco Coca-Cola Zero Zero\nLata 330 ml\n0,89 € /ud.",""
"","Refresco Coca-Cola Zero Zero\n2 botellas x 2 L\n3,90 € /pack",""
"","Refresco Coca-Cola Zero Zero\nBotella 2 L\n1,99 € /ud.",""
"","Refresco cola Hacendado Zero azúcar\nBotella 2 L\n0,70 € /ud.",""
"","Refresco cola Hacendado Zero azúcar\n6 latas x 330 ml\n1,92 € /pack",""
"","Refresco cola Hacendado Zero azúcar\nLata 330 ml\n0,32 € /ud.",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\nBotella 2 L\n0,70 € /ud.",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\n6 latas x 330 ml\n1,92 € /pack",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\nLata 330 ml\n0,32 € /ud.",""
"","Refresco cola Pepsi Zero azúcar\nBotella 1,75 L\n1,69 € /ud.",""
"Cocacola_sin_cafeina","Refresco Coca-Cola Zero Zero\n12 latas x 330 ml\n10,44 € /pack",""
"","Refresco Coca-Cola Zero Zero\nLata 330 ml\n0,89 € /ud.",""
"","Refresco Coca-Cola Zero Zero\n2 botellas x 2 L\n3,90 € /pack",""
"","Refresco Coca-Cola Zero Zero\nBotella 2 L\n1,99 € /ud.",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\nBotella 2 L\n0,70 € /ud.",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\n6 latas x 330 ml\n1,92 € /pack",""
"","Refresco cola Hacendado Zero azúcar Zero cafeína\nLata 330 ml\n0,32 € /ud.",""
"Fanta_de_limon","Refresco Fanta limón\nBotella 2 L\n1,79 € /ud.",""
"","Refresco Fanta limón\n9 latas x 330 ml\n6,57 €5,76 € /pack",""
"","Refresco Fanta limón\nLata 330 ml\n0,75 €0,66 € /ud.",""
"","Refresco Fanta limón zero azúcares añadidos\nLata 330 ml\n0,75 €0,66 € /ud.",""
"","Refresco de limón Hacendado fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco de limón Hacendado fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco de limón Hacendado fresh gas\nLata 330 ml\n0,35 € /ud.",""
"","Refresco de limón Hacendado zero azúcar fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco de limón Hacendado zero azúcar fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco de limón Hacendado zero azúcar fresh gas\nLata 330 ml\n0,35 € /ud.",""
"","Refresco limón Schweppes original\n8 latas x 330 ml\n7,52 €5,12 € /pack",""
"","Refresco limón Schweppes original\nLata 330 ml\n0,95 € /ud.",""
"Sprite","Refresco lima limón Sprite\nBotella 2 L\n1,59 €1,25 € /ud.",""
"","Refresco lima limón Sprite\n8 latas x 330 ml\n4,56 € /pack",""
"","Refresco lima limón Sprite\nLata 330 ml\n0,59 € /ud.",""
"","Refresco lima limón Hacendado fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco lima limón Hacendado fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco lima limón Hacendado fresh gas\nLata 330 ml\n0,35 € /ud.",""
"","Refresco lima limón Hacendado zero azúcar fresh gas\nBotella 2 L\n0,95 € /ud.",""
"Fanta_de_naranja","Refresco Fanta naranja\n2 botellas x 2 L\n3,50 € /pack",""
"","Refresco Fanta naranja\nBotella 2 L\n1,79 € /ud.",""
"","Refresco Fanta naranja\n9 latas x 330 ml\n6,57 €5,76 € /pack",""
"","Refresco Fanta naranja\nLata 330 ml\n0,75 €0,66 € /ud.",""
"","Refresco Fanta naranja zero azúcares añadidos\nBotella 2 L\n1,79 € /ud.",""
"","Refresco Fanta naranja zero azúcares añadidos\nLata 330 ml\n0,75 €0,66 € /ud.",""
"","Refresco de naranja Hacendado fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco de naranja Hacendado fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco de naranja Hacendado fresh gas\nLata 330 ml\n0,35 € /ud.",""
"","Refresco de naranja Hacendado zero fresh gas\nBotella 2 L\n0,95 € /ud.",""
"","Refresco de naranja Hacendado zero fresh gas\n6 latas x 330 ml\n2,10 € /pack",""
"","Refresco de naranja Hacendado zero fresh gas\nLata 330 ml\n0,35 € /ud.",""
"Arroz","Arroz redondo Hacendado\nPaquete 1 kg\n1,27 € /ud.",""
"","Arroz largo Hacendado\nPaquete 1 kg\n1,30 € /ud.",""
"","Arroz cocido basmati Sabroz\n2 vasitos x 125 g\n1,20 € /pack",""
"","Arroz cocido integral Sabroz\n2 vasitos x 125 g\n1,15 € /pack",""
"","Arroz bomba Hacendado\nPaquete 1 kg\n4,90 € /ud.",""
"","Quinoa cocida blanca y roja Sabroz\n2 vasitos x 125 g\n1,50 € /pack",""
"","Arroz cocido redondo Sabroz\n2 vasitos x 125 g\n1,15 € /pack",""
"","Arroz redondo J Sendra Hacendado\nPaquete 1 kg\n1,54 € /ud.",""
"","Arroz basmati aromático Hacendado\nPaquete 1 kg\n2,54 €2,44 € /ud.",""
"","Arroz integral redondo Hacendado\nPaquete 1 kg\n1,70 € /ud.",""
"","Cous cous mediano Bia\nCaja 1 kg\n1,90 €1,85 € /ud.",""
"","Arroz vaporizado Hacendado\nPaquete 1 kg\n1,54 € /ud.",""
"","Quinoa Hacendado\nPaquete 500 g\n2,65 € /ud.",""
"","Arroz redondo Sabroz\nPaquete 1 kg\n2,68 € /ud.",""
"","Arroz redondo SOS\nPaquete 1 kg\n1,80 € /ud.",""
"","Grano de avena cocida Sabroz\n2 vasitos x 125 g\n1,25 €1,20 € /pack",""
"Garbanzos","Garbanzo cocido Hacendado\nTarro 570 g (400 g escurrido)\n0,71 € /ud.",""
"","Garbanzo cocido Hacendado\nTarro 295 g (210 g escurrido)\n0,65 € /ud.",""
"","Garbanzo cocido pedrosillano Hacendado\nTarro 570 g (400 g escurrido)\n1,06 € /ud.",""
"","Garbanzo Hacendado\nPaquete 1 kg\n2,20 €2,15 € /ud.",""
"","Garbanzo pedrosillano Hacendado\nPaquete 1 kg\n1,95 € /ud.",""
"","Garbanzo lechoso andaluz Hacendado\nPaquete 1 kg\n2,75 €2,65 € /ud.",""
"Alubias","Alubia cocida blanca Hacendado\nTarro 570 g (400 g escurrido)\n0,69 € /ud.",""
"","Alubia cocida blanca Hacendado\nTarro 295 g (210 g escurrido)\n0,65 € /ud.",""
"","Alubia cocida roja Hacendado\nTarro 570 g (400 g escurrido)\n1,05 € /ud.",""
"","Alubia cocida pinta Hacendado\nTarro 570 g (400 g escurrido)\n1,10 € /ud.",""
"","Alubia blanca Hacendado\nPaquete 1 kg\n1,85 € /ud.",""
"","Alubia negra Hacendado\nPaquete 1 kg\n2,40 € /ud.",""
"","Alubia roja Hacendado\nPaquete 1 kg\n2,55 € /ud.",""
"","Alubia cocida granja Hacendado\nTarro 570 g (350 g escurrido)\n1,50 € /ud.",""
"","Alubia pinta Hacendado\nPaquete 1 kg\n2,16 € /ud.",""
"","Alubia granja Hacendado\nPaquete 500 g\n2,84 € /ud.",""
"Lentejas_y_otros","Lenteja pardina Hacendado\nPaquete 1 kg\n2,10 € /ud.",""
"","Lenteja cocida Hacendado\nTarro 570 g (400 g escurrido)\n0,87 €0,80 € /ud.",""
"","Lenteja cocida Hacendado\nTarro 295 g (210 g escurrido)\n0,75 €0,70 € /ud.",""
"","Soja texturizada grano fino Hacendado\nPaquete 250 g\n2,25 € /ud.",""
"","Lenteja Hacendado\nPaquete 1 kg\n1,88 € /ud.",""
"Fideos","Fideo cabello de ángel Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Fideuá Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Fideo grueso Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Pasta estrellas Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Pasta maravilla Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Fideo mediano Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Fideo al huevo Hacendado\nPaquete 500 g\n1,35 € /ud.",""
"","Pasta infantil con vegetales Hacendado\nPaquete 500 g\n1,30 €1,20 € /ud.",""
"","Sémola de trigo Hacendado\nPaquete 500 g\n1,60 € /ud.",""
"","Tapioca Tipiak\nCaja 225 g\n1,90 € /ud.",""
"","Pasta estrellas sin gluten Felicia\nPaquete 500 g\n2,00 €1,95 € /ud.",""
"Macarrones_pajaritas_y_helices","Pajaritas vegetales Hacendado\nPaquete 500 g\n1,10 € /ud.",""
"","Pasta penne integral Hacendado\nPaquete 500 g\n1,20 € /ud.",""
"","Pasta tortiglioni Armando\nPaquete 500 g\n1,24 € /ud.",""
"","Hélices con vegetales Hacendado\nPaquete 1 kg\n1,60 € /ud.",""
"","Macarrón fino Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Macarrón al huevo Hacendado\nPaquete 500 g\n1,35 € /ud.",""
"","Macarrón Hacendado\nPaquete 1 kg\n1,35 €1,30 € /ud.",""
"","Macarrón rayado Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Pasta penne Armando\nPaquete 500 g\n1,24 € /ud.",""
"","Pasta fusilli 100% lentejas rojas Felicia\nPaquete 250 g\n1,58 € /ud.",""
"","Pasta trottole vegetales Hacendado\nPaquete 500 g\n1,30 €1,20 € /ud.",""
"","Pasta fusilli Armando\nPaquete 500 g\n1,24 € /ud.",""
"","Pasta tiburón Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Hélices Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Macarrón Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Pasta fusilli sin gluten Felicia\nPaquete 500 g\n2,00 €1,95 € /ud.",""
"","Pasta corallini integral Hacendado\nPaquete 500 g\n1,20 € /ud.",""
"Spaghetti_y_tallarines","Tallarines Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Spaghetti integral Hacendado\nPaquete 500 g\n1,20 € /ud.",""
"","Spaghetti fino Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Nidos al huevo Hacendado\nPaquete 500 g\n1,35 € /ud.",""
"","Spaghetti al huevo Hacendado\nPaquete 500 g\n1,35 € /ud.",""
